 #  Results from PENEPMA. Phi rho z distribution.
 #
 #  Z = 29, S1 =  1, S2 =  4
 #
 #  Angular intervals : theta_1 = 4.000000E+01,  theta_2 = 6.000000E+01
 #                        phi_1 = 0.000000E+00,    phi_2 = 3.600000E+02
 #
 # Intensities of characteristic lines. All in 1/(cm*sr*electron).
 #    P = primary photons (from electron interactions);
 #    C = flourescence from characteristic x rays;
 #    B = flourescence from bremsstrahlung quanta;
 #   TF = C+B, total fluorescence;
 #    T = P+C+B, total intensity;
 #    E = emitted; G = generated;
 #  unc = statistical uncertainty (3 sigma).
 #
 # D (cm)     DF (cm)    PE            unc       PG            unc       CE            unc       CG            unc       BE            unc       BG            unc       TFE           unc       TFG           unc       TE            unc       TG            unc
   2.580E-05  5.160E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  1.397876E-03  6.49E-05  1.958059E-03  2.80E-05  1.397876E-03  6.49E-05  1.958059E-03  2.80E-05  1.166990E+00  2.74E-01  1.056917E+00  9.49E-02
   2.646E-05  5.293E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  1.313348E-03  6.29E-05  1.897128E-03  2.76E-05  1.313348E-03  6.29E-05  1.897128E-03  2.76E-05  1.030157E+00  2.57E-01  1.019597E+00  9.32E-02
   2.712E-05  5.425E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  1.240848E-03  6.11E-05  1.834419E-03  2.71E-05  1.240848E-03  6.11E-05  1.834419E-03  2.71E-05  9.068650E-01  2.41E-01  1.056961E+00  9.49E-02
   2.779E-05  5.557E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  1.199086E-03  6.01E-05  1.784732E-03  2.67E-05  1.199086E-03  6.01E-05  1.784732E-03  2.67E-05  1.073398E+00  2.62E-01  1.035737E+00  9.39E-02
   2.845E-05  5.689E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  1.166344E-03  5.92E-05  1.738645E-03  2.64E-05  1.166344E-03  5.92E-05  1.738645E-03  2.64E-05  9.644745E-01  2.49E-01  1.048214E+00  9.45E-02
   2.911E-05  5.822E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  1.099190E-03  5.75E-05  1.672514E-03  2.59E-05  1.099190E-03  5.75E-05  1.672514E-03  2.59E-05  9.645146E-01  2.49E-01  9.586452E-01  9.03E-02
   2.977E-05  5.954E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  1.090169E-03  5.73E-05  1.621228E-03  2.55E-05  1.090169E-03  5.73E-05  1.621228E-03  2.55E-05  9.871706E-01  2.51E-01  9.548517E-01  9.01E-02
   3.043E-05  6.086E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  1.023015E-03  5.55E-05  1.577007E-03  2.51E-05  1.023015E-03  5.55E-05  1.577007E-03  2.51E-05  9.359236E-01  2.45E-01  9.866217E-01  9.17E-02
   3.109E-05  6.219E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  9.845935E-04  5.44E-05  1.537586E-03  2.48E-05  9.845935E-04  5.44E-05  1.537586E-03  2.48E-05  9.076468E-01  2.41E-01  9.112134E-01  8.80E-02
   3.176E-05  6.351E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  9.428310E-04  5.32E-05  1.483722E-03  2.44E-05  9.428310E-04  5.32E-05  1.483722E-03  2.44E-05  9.067981E-01  2.41E-01  8.688445E-01  8.59E-02
